PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,North Philadelphia East,,,,,,,,,
Location:,"Lat, Lon: 40.01, -75.14",,,,,,,,,
Lat (deg N):,40.01,,,,,,,,,
Long (deg W):,75.14,,,,,,,,,
Elev (m):,44.72000122,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (roof mount),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.129,,,,,,,,,
Capacity Factor (%),"15.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
6,24,18,128,72,23,1,65.954,24.51,214.461,189.982
6,24,19,0,0,21,1,0,21,0,0
6,24,20,0,0,20,1,0,20,0,0
6,24,21,0,0,20,1,0,20,0,0
6,24,22,0,0,19,1,0,19,0,0
6,24,23,0,0,19,1,0,19,0,0
6,25,0,0,0,19,1,0,19,0,0
6,25,1,0,0,19,1,0,19,0,0
6,25,2,0,0,19,1,0,19,0,0
6,25,3,0,0,19,1,0,19,0,0
6,25,4,0,0,20,1,0,20,0,0
6,25,5,144,63,21,1,53.196,20.35,180.51,156.705
6,25,6,217,126,23,2,168.513,26.449,530.363,499.11
6,25,7,461,190,25,2,397.047,35.916,1245.734,1195.709
6,25,8,565,220,26,3,593.539,41.64,1858.398,1788.516
6,25,9,641,234,27,3,769.908,47.792,2355.816,2267.246
6,25,10,613,291,28,3,879.58,52.079,2637.07,2536.915
6,25,11,651,285,29,3,952.799,55.2,2809.709,2702.078
6,25,12,679,266,30,4,963.998,54.387,2855.41,2745.754
6,25,13,674,252,30,4,904.664,53.046,2698.31,2595.534
6,25,14,666,223,29,4,789.641,49.24,2398.677,2308.388
6,25,15,639,188,28,3,625.396,45.699,1918.622,1846.599
6,25,16,572,154,27,3,426.874,39.029,1315.67,1263.555
6,25,17,464,112,26,2,226.579,32.973,660.071,625.767
6,25,18,260,62,25,1,59.845,26.387,178.367,154.604
6,25,19,0,0,23,1,0,23,0,0
6,25,20,0,0,22,1,0,22,0,0
6,25,21,0,0,21,1,0,21,0,0
6,25,22,0,0,21,1,0,21,0,0
6,25,23,0,0,21,1,0,21,0,0
6,26,0,0,0,20,1,0,20,0,0
6,26,1,0,0,20,1,0,20,0,0
6,26,2,0,0,20,1,0,20,0,0
6,26,3,0,0,19,1,0,19,0,0
6,26,4,0,0,20,1,0,20,0,0
6,26,5,145,60,22,1,50.732,21.299,171.492,147.863
6,26,6,351,126,24,1,200.256,29.265,602.783,569.846
6,26,7,451,185,25,2,387.345,35.766,1215.901,1166.754
6,26,8,540,222,27,2,578.717,44.12,1789.406,1721.935
6,26,9,609,240,28,2,749.305,50.668,2258.184,2173.463
6,26,10,408,375,29,2,771.106,52.889,2301.998,2215.561
6,26,11,635,284,30,2,935.874,58.416,2711.17,2607.84
6,26,12,632,287,30,2,938.114,59.07,2707.788,2604.604
6,26,13,615,281,30,3,877.956,54.483,2598.343,2499.826
6,26,14,11,238,30,2,237.481,39.264,761.354,724.559
6,26,15,516,243,29,2,594.539,45.952,1824.713,1756.013
6,26,16,482,183,28,2,411.72,41.153,1262.11,1211.601
6,26,17,200,137,27,1,180.062,33.968,554.423,522.616
6,26,18,113,68,26,1,62.641,27.208,201.679,177.455
6,26,19,0,0,24,1,0,24,0,0
6,26,20,0,0,24,1,0,24,0,0
6,26,21,0,0,23,1,0,23,0,0
6,26,22,0,0,23,1,0,23,0,0
6,26,23,0,0,23,2,0,23,0,0
6,27,0,0,0,22,1,0,22,0,0
6,27,1,0,0,22,1,0,22,0,0
6,27,2,0,0,21,1,0,21,0,0
6,27,3,0,0,21,1,0,21,0,0
6,27,4,0,0,21,1,0,21,0,0
6,27,5,205,56,22,2,48.227,21.41,160.845,137.425
6,27,6,405,114,24,2,201.803,28.475,599.118,566.267
6,27,7,472,163,26,2,375.674,36.433,1171.536,1123.68
6,27,8,633,176,27,2,596.278,44.576,1836.323,1767.217
6,27,9,364,346,28,2,646.961,47.874,1980.563,1906.305
6,27,10,190,445,29,2,625.627,48.451,1912.797,1840.983
6,27,11,248,468,29,2,729.428,51.268,2197.363,2114.995
6,27,12,316,451,28,2,781.128,52.125,2342.296,2254.263
6,27,13,236,444,27,2,670.438,48.282,2051.669,1974.799
6,27,14,112,390,26,2,482.058,41.516,1527.093,1468.383
6,27,15,26,260,25,2,266.212,33.393,877.896,838.118
6,27,16,315,209,24,1,354.279,36.076,1123.795,1077.306
6,27,17,41,133,23,1,134.817,27.935,448.866,419.45
6,27,18,0,54,22,1,49.934,22.262,173.822,150.148
6,27,19,0,0,22,0,0,22,0,0
6,27,20,0,0,21,0,0,21,0,0
6,27,21,0,0,20,0,0,20,0,0
6,27,22,0,0,20,0,0,20,0,0
6,27,23,0,0,20,0,0,20,0,0
6,28,0,0,0,19,0,0,19,0,0
6,28,1,0,0,19,0,0,19,0,0
6,28,2,0,0,18,0,0,18,0,0
6,28,3,0,0,18,0,0,18,0,0
6,28,4,0,0,18,0,0,18,0,0
6,28,5,0,30,18,0,28.447,15.042,102.341,80.044
6,28,6,61,127,19,1,132.308,21.464,449.317,419.89
6,28,7,77,212,21,1,236.614,28.061,792.938,755.348
6,28,8,596,188,23,1,583.384,42.603,1815.769,1747.381
6,28,9,381,339,24,1,653.709,47.759,2002.271,1927.22
6,28,10,493,351,25,1,826.487,54.458,2446.273,2354.057
6,28,11,96,464,26,1,558.363,47.951,1711.971,1647.152
6,28,12,72,450,26,1,520.58,45.289,1618.518,1556.827
6,28,13,21,324,26,1,332.829,38.874,1069.247,1024.296
6,28,14,13,251,25,1,251.79,33.956,828.805,790.299
6,28,15,0,76,23,1,72.306,24.963,248.544,223.379
6,28,16,57,217,23,1,234.273,29.618,782.009,744.695
6,28,17,0,82,22,1,77.657,24.003,268.142,242.578
6,28,18,0,2,21,0,1.89,18.193,6.705,0
6,28,19,0,0,19,0,0,19,0,0
6,28,20,0,0,19,0,0,19,0,0
6,28,21,0,0,19,0,0,19,0,0
6,28,22,0,0,19,0,0,19,0,0
6,28,23,0,0,18,0,0,18,0,0
6,29,0,0,0,18,0,0,18,0,0
6,29,1,0,0,18,0,0,18,0,0
6,29,2,0,0,17,0,0,17,0,0
6,29,3,0,0,17,0,0,17,0,0
6,29,4,0,0,17,0,0,17,0,0
6,29,5,0,2,18,0,1.89,13.673,6.842,0
6,29,6,27,120,18,0,118.003,20.051,409.207,380.662
6,29,7,0,88,19,0,83.661,21.344,292.467,266.402
6,29,8,42,272,20,1,290.422,28.655,979.21,936.735
6,29,9,19,281,21,1,285.519,30.841,954.111,912.313
6,29,10,175,445,22,1,611.62,42.836,1925.459,1853.192
6,29,11,122,473,23,1,601.602,45.292,1870.378,1800.073
6,29,12,665,275,23,1,959.604,56.378,2811.539,2703.828
6,29,13,605,300,24,0,887.824,63.411,2499.597,2405.196
6,29,14,553,294,24,0,765.481,59.096,2204.6,2121.954
6,29,15,490,267,24,0,601.227,52.855,1780.028,1712.881
6,29,16,0,151,24,0,143.352,34.957,469.616,439.737
6,29,17,0,68,23,0,64.588,25.166,221.803,197.177
6,29,18,0,25,21,0,23.687,19.18,83.635,61.691
6,29,19,0,0,19,0,0,19,0,0
6,29,20,0,0,18,0,0,18,0,0
6,29,21,0,0,17,1,0,17,0,0
6,29,22,0,0,17,1,0,17,0,0
6,29,23,0,0,16,1,0,16,0,0
6,30,0,0,0,16,1,0,16,0,0
6,30,1,0,0,16,1,0,16,0,0
6,30,2,0,0,15,1,0,15,0,0
6,30,3,0,0,15,1,0,15,0,0
6,30,4,0,0,15,1,0,15,0,0
6,30,5,295,51,16,1,42.099,14.721,151.675,128.433
6,30,6,568,85,18,2,213.119,22.673,620.159,586.81
6,30,7,751,91,20,2,434.141,32.21,1359.095,1305.66
6,30,8,830,102,22,2,649.504,41.432,2026.863,1950.91
6,30,9,878,108,23,2,830.068,48.366,2530.018,2434.358
6,30,10,896,119,24,2,960.841,53.607,2856.527,2746.822
6,30,11,907,123,24,2,1031.707,56.008,3028.893,2911.373
6,30,12,905,125,25,2,1035.377,57.302,3018.083,2901.06
6,30,13,896,120,25,2,972.517,55.627,2859.958,2750.099
6,30,14,868,116,25,2,846.493,51.969,2532.974,2437.192
6,30,15,825,108,25,1,673.133,50.704,2007.194,1931.963
6,30,16,749,98,24,1,462.245,42.094,1391.323,1336.896
6,30,17,619,81,23,1,241.233,32.403,681.131,646.318
6,30,18,395,51,20,0,57.258,23.133,156.604,133.266
6,30,19,0,0,18,0,0,18,0,0
6,30,20,0,0,17,0,0,17,0,0
6,30,21,0,0,16,0,0,16,0,0
6,30,22,0,0,16,0,0,16,0,0
6,30,23,0,0,16,0,0,16,0,0
7,1,0,0,0,16,0,0,16,0,0
7,1,1,0,0,16,0,0,16,0,0
7,1,2,0,0,15,0,0,15,0,0
7,1,3,0,0,14,0,0,14,0,0
7,1,4,0,0,15,0,0,15,0,0
7,1,5,368,42,17,1,35.153,15.491,126.212,103.461
7,1,6,611,72,19,1,210.261,24.402,596.109,563.33
7,1,7,747,89,22,1,429.685,36.314,1317.612,1265.439
7,1,8,810,107,24,1,640.977,46.521,1948.621,1875.52
7,1,9,846,122,25,0,817.629,60.095,2337.931,2250.073
7,1,10,858,137,26,0,943.244,66.116,2613.753,2514.586
7,1,11,863,147,27,0,1011.872,69.859,2744.288,2639.522
7,1,12,856,151,27,0,1012.47,70.263,2739.342,2634.792
7,1,13,852,143,27,0,954.24,68.493,2608.023,2509.098
7,1,14,816,141,27,0,832.458,64.374,2324.999,2237.653
7,1,15,762,134,27,0,657.009,57.961,1884.532,1813.725
7,1,16,662,125,26,0,446.275,48.591,1304.26,1252.49
7,1,17,528,100,25,0,235.412,38.004,660.872,626.549
7,1,18,302,59,23,0,59.845,26.275,172.702,149.05
7,1,19,0,0,21,0,0,21,0,0
7,1,20,0,0,20,0,0,20,0,0
7,1,21,0,0,19,0,0,19,0,0
7,1,22,0,0,18,0,0,18,0,0
7,1,23,0,0,18,0,0,18,0,0
7,2,0,0,0,17,0,0,17,0,0
7,2,1,0,0,16,1,0,16,0,0
7,2,2,0,0,16,0,0,16,0,0
7,2,3,0,0,15,0,0,15,0,0
7,2,4,0,0,16,0,0,16,0,0
7,2,5,271,50,18,0,40.317,15.608,144.677,121.57
7,2,6,530,90,21,1,207.82,26.388,598.952,566.105
7,2,7,682,112,24,1,421.247,37.999,1286.06,1234.836
7,2,8,765,129,26,0,633.207,53.326,1857.697,1787.84
7,2,9,812,143,27,0,814.268,61.796,2306.291,2219.685
7,2,10,832,156,28,0,943.792,67.928,2587.706,2489.637
7,2,11,839,164,28,1,1012.604,64.19,2839.004,2730.077
7,2,12,833,168,29,1,1014.511,65.47,2823.418,2715.182
7,2,13,785,186,29,1,940.785,63.334,2649.708,2549.014
7,2,14,741,183,29,1,814.656,59.257,2342.926,2254.868
7,2,15,676,174,28,1,639.412,52.345,1893.5,1822.374
7,2,16,586,151,27,1,435.055,43.934,1308.322,1256.429
7,2,17,441,119,25,1,228.779,33.802,669.587,635.053
7,2,18,222,66,22,1,64.208,23.476,198.51,174.35
7,2,19,0,0,20,1,0,20,0,0
7,2,20,0,0,20,1,0,20,0,0
7,2,21,0,0,19,1,0,19,0,0
7,2,22,0,0,19,1,0,19,0,0
7,2,23,0,0,18,1,0,18,0,0
7,3,0,0,0,18,1,0,18,0,0
7,3,1,0,0,17,1,0,17,0,0
7,3,2,0,0,17,1,0,17,0,0
7,3,3,0,0,16,1,0,16,0,0
7,3,4,0,0,16,1,0,16,0,0
7,3,5,61,49,18,1,42.276,16.804,150.891,127.664
7,3,6,447,105,20,1,200.71,25.123,595.407,562.644
7,3,7,609,119,23,1,394.503,36.047,1219.164,1169.922
7,3,8,616,179,25,1,585.635,45.512,1794.408,1726.763
7,3,9,690,203,27,1,776.85,54.482,2292.621,2206.552
7,3,10,557,324,28,1,858.846,58.86,2480.893,2387.261
7,3,11,467,392,29,2,876.939,56.189,2572.005,2474.595
7,3,12,489,390,29,2,899.48,56.865,2628.33,2528.545
7,3,13,408,379,29,2,781.229,53.731,2321.793,2234.575
7,3,14,68,370,28,1,420.368,45.216,1306.85,1255.002
7,3,15,123,316,27,1,393.785,41.323,1245.383,1195.369
7,3,16,181,228,26,0,306.83,41.221,957.292,915.409
7,3,17,200,137,25,0,180.983,34.383,556.535,524.679
7,3,18,0,41,24,0,38.809,25.499,133.067,110.185
7,3,19,0,0,22,0,0,22,0,0
7,3,20,0,0,21,0,0,21,0,0
7,3,21,0,0,21,0,0,21,0,0
7,3,22,0,0,20,0,0,20,0,0
7,3,23,0,0,20,0,0,20,0,0
7,4,0,0,0,20,0,0,20,0,0
7,4,1,0,0,20,0,0,20,0,0
7,4,2,0,0,19,0,0,19,0,0
7,4,3,0,0,19,0,0,19,0,0
7,4,4,0,0,19,0,0,19,0,0
7,4,5,5,46,20,0,42.247,17.874,150.056,126.845
7,4,6,310,130,21,0,191.335,27.51,585.277,552.751
7,4,7,182,213,23,1,286,32.229,929.28,888.146
7,4,8,504,237,24,1,567.083,43.327,1760.914,1694.425
7,4,9,583,255,26,1,739.181,52.269,2208.552,2125.754
7,4,10,650,254,27,1,876.647,58.278,2540.402,2444.312
7,4,11,130,473,28,1,609.951,51.744,1832.765,1763.784
7,4,12,269,463,29,1,747.435,55.605,2199.259,2116.818
7,4,13,413,377,29,1,784.227,57.407,2284.153,2198.417
7,4,14,311,370,29,1,634.947,53.005,1892.336,1821.253
7,4,15,439,256,29,1,557.489,49.797,1678.532,1614.841
7,4,16,351,202,28,1,366.475,42.195,1125.289,1078.758
7,4,17,386,113,27,1,208.93,34.695,612.07,578.914
7,4,18,175,68,25,0,63.971,28.082,198.272,174.116
7,4,19,0,0,24,0,0,24,0,0
7,4,20,0,0,24,0,0,24,0,0
7,4,21,0,0,23,1,0,23,0,0
7,4,22,0,0,23,0,0,23,0,0
7,4,23,0,0,22,0,0,22,0,0
7,5,0,0,0,22,1,0,22,0,0
7,5,1,0,0,21,0,0,21,0,0
7,5,2,0,0,19,0,0,19,0,0
7,5,3,0,0,18,0,0,18,0,0
7,5,4,0,0,18,0,0,18,0,0
7,5,5,389,39,20,1,30.593,18.446,108.382,85.971
7,5,6,181,123,22,2,155.447,24.912,496.256,465.778
7,5,7,761,83,24,1,427.372,37.892,1297.161,1245.604
7,5,8,830,95,25,1,638.533,47.396,1930.867,1858.405
7,5,9,871,104,27,1,818.397,56.02,2393.366,2303.292
7,5,10,883,118,28,1,946.813,61.679,2691.4,2588.922
7,5,11,898,120,28,1,1019.793,64.409,2855.542,2745.88
7,5,12,903,119,29,2,1028.22,60.826,2938.702,2825.305
7,5,13,892,117,29,2,967.198,59.23,2788.088,2681.409
7,5,14,874,110,29,2,847.293,55.782,2483.442,2389.706
7,5,15,838,101,28,2,675.316,49.645,2025.13,1949.24
7,5,16,760,93,27,1,464.269,45.08,1375.925,1321.973
7,5,17,645,75,26,1,243.592,35.498,673.98,639.34
7,5,18,427,47,23,1,55.269,24.281,144.856,121.746
7,5,19,0,0,21,1,0,21,0,0
7,5,20,0,0,20,1,0,20,0,0
7,5,21,0,0,19,1,0,19,0,0
7,5,22,0,0,19,1,0,19,0,0
7,5,23,0,0,18,1,0,18,0,0
7,6,0,0,0,17,1,0,17,0,0
7,6,1,0,0,16,1,0,16,0,0
7,6,2,0,0,15,1,0,15,0,0
7,6,3,0,0,15,1,0,15,0,0
7,6,4,0,0,15,1,0,15,0,0
7,6,5,34,46,16,1,41.19,14.686,148.425,125.246
7,6,6,619,69,18,2,205.922,22.445,583.855,551.362
7,6,7,752,87,21,2,426.628,32.951,1327.472,1275
7,6,8,828,99,22,1,641.837,44.604,1969.439,1895.585
7,6,9,873,107,24,1,822.7,53.34,2441.415,2349.396
7,6,10,895,116,25,1,955.807,59.184,2755.435,2650.184
7,6,11,904,120,26,1,1025.796,62.788,2899.197,2787.583
7,6,12,902,120,26,1,1028.419,63.185,2900.079,2788.425
7,6,13,889,118,27,1,965.658,62.282,2736.088,2631.679
7,6,14,521,291,27,0,737.929,61.432,2097.69,2019.105
7,6,15,38,276,26,0,293.465,43.777,918.314,877.472
7,6,16,723,100,26,0,452.696,45.887,1337.712,1284.929
7,6,17,38,132,24,0,133.434,33.016,434.04,404.951
7,6,18,21,58,21,0,53.078,22.388,182.392,158.549
7,6,19,0,0,19,0,0,19,0,0
7,6,20,0,0,18,0,0,18,0,0
7,6,21,0,0,17,0,0,17,0,0
7,6,22,0,0,16,0,0,16,0,0
7,6,23,0,0,16,0,0,16,0,0
7,7,0,0,0,16,0,0,16,0,0
7,7,1,0,0,16,1,0,16,0,0
7,7,2,0,0,15,1,0,15,0,0
7,7,3,0,0,15,1,0,15,0,0
7,7,4,0,0,15,1,0,15,0,0
7,7,5,0,29,16,1,27.5,14.161,99.329,77.089
7,7,6,653,64,18,2,208.227,22.451,584.395,551.89
7,7,7,778,81,20,2,431.641,32.114,1346.326,1293.28
7,7,8,850,93,22,2,648.389,41.39,2021.957,1946.184
7,7,9,890,103,23,2,832.102,48.419,2535.088,2439.218
7,7,10,898,117,24,2,959.465,53.577,2852.826,2743.285
7,7,11,896,129,25,2,1026.951,56.813,3001.573,2885.31
7,7,12,322,450,25,2,787.709,50.562,2381.935,2292.32
7,7,13,479,339,25,2,809.616,50.251,2451.607,2359.173
7,7,14,842,131,25,2,846.115,51.341,2540.827,2444.719
7,7,15,525,221,24,2,582.501,43.15,1813.763,1745.446
7,7,16,740,102,23,2,463.95,37.667,1429.855,1374.23
7,7,17,635,78,22,2,244.028,29.63,696.993,661.792
7,7,18,429,47,19,1,55.374,20.173,147.907,124.738
7,7,19,0,0,17,1,0,17,0,0
7,7,20,0,0,16,1,0,16,0,0
7,7,21,0,0,15,1,0,15,0,0
7,7,22,0,0,14,1,0,14,0,0
7,7,23,0,0,14,1,0,14,0,0
7,8,0,0,0,13,1,0,13,0,0
7,8,1,0,0,13,1,0,13,0,0
7,8,2,0,0,12,1,0,12,0,0
7,8,3,0,0,12,1,0,12,0,0
7,8,4,0,0,12,1,0,12,0,0
7,8,5,418,36,14,1,27.078,12.065,98.72,76.492
7,8,6,666,61,17,1,209.127,22.261,585.061,552.54
7,8,7,787,78,20,2,431.98,32.128,1346.033,1292.997
7,8,8,851,91,21,1,646.474,43.822,1990.729,1916.1
7,8,9,890,102,23,1,830.735,52.671,2474.026,2380.676
7,8,10,913,108,24,1,964.139,58.547,2789.344,2682.609
7,8,11,924,112,25,1,1037.661,62.258,2941.622,2828.093
7,8,12,925,111,26,1,1042.663,63.652,2932.383,2819.272
7,8,13,915,109,26,1,981.675,61.899,2787.537,2680.882
7,8,14,887,106,26,1,855.067,57.866,2477.563,2384.068
7,8,15,841,100,26,1,677.221,51.825,2007.438,1932.198
7,8,16,774,88,25,1,466.737,43.232,1395.783,1341.218
7,8,17,658,71,23,0,243.565,36.528,668.071,633.574
7,8,18,443,44,21,0,53.119,24.049,136.138,113.196
7,8,19,0,0,19,0,0,19,0,0
7,8,20,0,0,18,0,0,18,0,0
7,8,21,0,0,17,1,0,17,0,0
7,8,22,0,0,16,1,0,16,0,0
7,8,23,0,0,15,1,0,15,0,0
7,9,0,0,0,15,1,0,15,0,0
7,9,1,0,0,14,1,0,14,0,0
7,9,2,0,0,14,1,0,14,0,0
7,9,3,0,0,14,1,0,14,0,0
7,9,4,0,0,14,1,0,14,0,0
7,9,5,346,39,16,1,29.899,14.25,107.948,85.545
7,9,6,578,74,18,1,199.364,22.943,567.989,535.867
7,9,7,672,108,21,2,408.69,32.387,1279.773,1228.737
7,9,8,736,133,24,2,615.223,42.3,1912.264,1840.469
7,9,9,772,153,25,2,789.676,49.03,2398.791,2308.498
7,9,10,735,205,26,2,906.036,53.861,2690.022,2587.604
7,9,11,505,379,27,2,902.493,55.148,2662.12,2560.897
7,9,12,524,374,28,2,919.774,56.554,2692.25,2589.736
7,9,13,559,329,28,2,875.842,55.428,2578.873,2481.175
7,9,14,486,300,28,2,718.392,50.949,2163.772,2082.689
7,9,15,664,174,28,2,633.403,47.972,1920.445,1848.357
7,9,16,492,165,27,2,402.616,40.056,1240.053,1190.196
7,9,17,148,138,26,1,168.364,32.487,529.898,498.656
7,9,18,237,62,24,1,60.02,24.956,181.265,157.445
7,9,19,0,0,22,1,0,22,0,0
7,9,20,0,0,21,2,0,21,0,0
7,9,21,0,0,20,1,0,20,0,0
7,9,22,0,0,20,1,0,20,0,0
7,9,23,0,0,20,1,0,20,0,0
7,10,0,0,0,20,2,0,20,0,0
7,10,1,0,0,19,2,0,19,0,0
7,10,2,0,0,19,2,0,19,0,0
7,10,3,0,0,19,2,0,19,0,0
7,10,4,0,0,19,2,0,19,0,0
7,10,5,98,51,20,2,42.903,19.172,151.488,128.249
7,10,6,220,116,22,2,156.53,25.004,491.218,460.855
7,10,7,476,171,25,2,379.782,35.351,1188.46,1140.114
7,10,8,629,179,28,3,591.446,43.517,1830.013,1761.129
7,10,9,278,364,30,3,593.896,46.242,1834.148,1765.118
7,10,10,786,172,31,3,916.318,55.382,2697.946,2595.186
7,10,11,424,396,31,3,839.079,54.421,2484.93,2391.133
7,10,12,459,397,32,3,878.02,56.131,2576.032,2478.453
7,10,13,281,432,32,3,710.381,52.063,2130.522,2050.701
7,10,14,549,281,32,2,752.547,55.141,2215.474,2132.409
7,10,15,415,265,31,2,551.317,48.739,1670.057,1606.651
7,10,16,155,228,29,1,294.952,40.763,924.236,883.236
7,10,17,110,139,27,0,159.139,35.346,499.537,468.985
7,10,18,0,26,25,0,24.638,25.562,84.454,62.494
7,10,19,0,0,23,0,0,23,0,0
7,10,20,0,0,23,0,0,23,0,0
7,10,21,0,0,22,0,0,22,0,0
7,10,22,0,0,21,0,0,21,0,0
7,10,23,0,0,20,0,0,20,0,0
7,11,0,0,0,20,0,0,20,0,0
7,11,1,0,0,19,1,0,19,0,0
7,11,2,0,0,19,1,0,19,0,0
7,11,3,0,0,18,0,0,18,0,0
7,11,4,0,0,18,0,0,18,0,0
7,11,5,0,31,20,1,29.409,18.401,104.208,81.875
7,11,6,113,121,22,2,137.212,24.339,448.924,419.506
7,11,7,250,200,23,2,304.588,30.992,988.642,945.911
7,11,8,22,240,25,1,243.605,33.48,802.9,765.057
7,11,9,50,339,26,1,373.143,38.581,1199.963,1151.282
7,11,10,222,434,27,0,644.839,54.339,1910.147,1838.428
7,11,11,863,138,28,0,1003.413,68.797,2738.56,2634.044
7,11,12,872,133,29,1,1012.469,65.372,2819.34,2711.284
7,11,13,866,128,29,1,955.306,63.749,2684.179,2582.011
7,11,14,852,116,29,1,836.664,59.983,2395.895,2305.719
7,11,15,820,103,28,2,668.143,49.405,2006.713,1931.499
7,11,16,745,94,27,1,459.002,44.869,1362.64,1309.095
7,11,17,635,74,25,1,240.293,34.351,668.863,634.346
7,11,18,417,45,22,1,52.759,23.134,139.017,116.019
7,11,19,0,0,20,1,0,20,0,0
7,11,20,0,0,19,1,0,19,0,0
7,11,21,0,0,18,1,0,18,0,0
7,11,22,0,0,18,1,0,18,0,0
7,11,23,0,0,17,1,0,17,0,0
7,12,0,0,0,16,1,0,16,0,0
7,12,1,0,0,16,1,0,16,0,0
7,12,2,0,0,15,1,0,15,0,0
7,12,3,0,0,15,1,0,15,0,0
7,12,4,0,0,15,1,0,15,0,0
7,12,5,367,36,17,1,27.443,15.196,98.661,76.434
7,12,6,636,64,19,2,200.783,23.237,559.185,527.267
7,12,7,766,81,22,2,422.899,33.816,1306.203,1254.374
7,12,8,845,91,24,2,640.478,43.082,1979.161,1904.953
7,12,9,891,98,25,1,826.154,54.379,2437.455,2345.597
7,12,10,919,101,26,1,962.059,60.312,2755.872,2650.602
7,12,11,929,105,27,1,1035.714,64.022,2906.588,2794.641
7,12,12,926,107,28,0,1040.329,72.118,2783.57,2677.089
7,12,13,910,107,29,0,975.913,71.104,2626.158,2526.466
7,12,14,881,105,29,0,850.048,66.871,2339.815,2251.882
7,12,15,543,213,28,0,587.935,56.726,1702.675,1638.171
7,12,16,468,171,28,0,397.052,48.207,1174.053,1126.124
7,12,17,656,63,26,0,236.662,38.566,639.365,605.559
7,12,18,334,50,23,0,53.436,26.011,148.383,125.205
7,12,19,0,0,21,1,0,21,0,0
7,12,20,0,0,20,2,0,20,0,0
7,12,21,0,0,18,1,0,18,0,0
7,12,22,0,0,18,1,0,18,0,0
7,12,23,0,0,17,0,0,17,0,0
7,13,0,0,0,17,0,0,17,0,0
7,13,1,0,0,17,0,0,17,0,0
7,13,2,0,0,16,0,0,16,0,0
7,13,3,0,0,16,0,0,16,0,0
7,13,4,0,0,16,0,0,16,0,0
7,13,5,293,40,18,0,30.65,15.109,110.234,87.788
7,13,6,296,106,20,1,163.504,23.668,501.927,471.322
7,13,7,273,195,23,1,309.674,32.876,993.633,950.766
7,13,8,505,213,26,1,541.87,44.59,1670.013,1606.609
7,13,9,672,204,27,1,761.095,53.775,2254.513,2169.935
7,13,10,286,418,28,1,695.38,53.804,2065.763,1988.37
7,13,11,502,378,29,2,899.188,56.192,2637.207,2537.045
7,13,12,540,343,29,2,905.48,57.108,2642.312,2541.934
7,13,13,422,370,29,2,788.185,53.944,2339.781,2251.849
7,13,14,186,391,28,3,547.416,43.69,1714.489,1649.585
7,13,15,219,311,27,3,455.555,39.524,1451.432,1395.13
7,13,16,669,120,26,2,447.162,39.613,1368.933,1315.195
7,13,17,537,94,24,2,233.137,31.24,674.041,639.399
7,13,18,308,54,22,1,55.656,23.184,161.096,137.671
7,13,19,0,0,20,1,0,20,0,0
7,13,20,0,0,20,1,0,20,0,0
7,13,21,0,0,19,1,0,19,0,0
7,13,22,0,0,19,1,0,19,0,0
7,13,23,0,0,18,0,0,18,0,0
7,14,0,0,0,18,0,0,18,0,0
7,14,1,0,0,18,0,0,18,0,0
7,14,2,0,0,18,0,0,18,0,0
7,14,3,0,0,17,0,0,17,0,0
7,14,4,0,0,17,0,0,17,0,0
7,14,5,90,48,18,1,40.491,16.739,144.563,121.458
7,14,6,285,130,20,1,182.279,24.434,567.11,535.008
7,14,7,22,178,23,1,178.413,28.336,600.973,568.078
7,14,8,0,146,24,2,139.176,27.155,473.477,443.513
7,14,9,0,121,25,2,115.444,27.268,392.53,364.347
7,14,10,11,234,26,2,235.337,31.85,782.742,745.409
7,14,11,70,441,25,2,510.31,39.534,1634.018,1571.813
7,14,12,19,322,25,3,330.999,34.101,1088.917,1043.415
7,14,13,23,332,24,2,343.143,34.018,1129.295,1082.65
7,14,14,50,351,24,2,387.398,35.385,1265.975,1215.351
7,14,15,372,277,23,2,530.441,38.779,1692.441,1628.283
7,14,16,72,219,22,2,244.39,29.94,813.38,775.269
7,14,17,93,136,21,2,151.961,24.794,504.232,473.575
7,14,18,8,55,20,2,50.79,20.169,177.69,153.94
7,14,19,0,0,20,2,0,20,0,0
7,14,20,0,0,20,2,0,20,0,0
7,14,21,0,0,20,2,0,20,0,0
7,14,22,0,0,20,2,0,20,0,0
7,14,23,0,0,20,2,0,20,0,0
7,15,0,0,0,19,2,0,19,0,0
7,15,1,0,0,19,1,0,19,0,0
7,15,2,0,0,19,1,0,19,0,0
7,15,3,0,0,19,2,0,19,0,0
7,15,4,0,0,19,2,0,19,0,0
7,15,5,3,39,19,2,35.946,17.918,127.652,104.873
7,15,6,1,101,20,2,94.91,20.99,332.116,305.223
